Locality,Property_Type,Furnishing_Status,Area_SqFt,BHK_Size,Bathroom_Count,Balcony_Count,Property_Age,Region,Price_Lakhs
Wadala,Apartment,Semi-Furnished,791,2,2,1,9,Mumbai,289.21
Mira Road,Apartment,Semi-Furnished,689,2,2,1,18,Mira-Bhayandar,54.11
Ulwe,Apartment,Fully Furnished,1731,5,5,3,9,Navi Mumbai,134.66
Borivali East,Apartment,Unfurnished,361,1,1,2,19,Mumbai,48.53
Bandra East,Apartment,Unfurnished,1542,4,4,3,9,Mumbai,652.94
Belapur,Apartment,Unfurnished,409,1,1,1,8,MMR,27.14
Walkeshwar,Apartment,Fully Furnished,1970,5,5,1,5,MMR,1767.18
Bkc (Bandra-Kurla),Apartment,Unfurnished,1203,3,3,1,18,MMR,951.39
Pedder Road,Apartment,Unfurnished,1484,4,4,2,40,MMR,768.39
Nerul,Apartment,Unfurnished,789,3,3,1,9,Navi Mumbai,107.89
Versova,Apartment,Semi-Furnished,737,3,3,2,40,MMR,219.49
Mazgaon,Apartment,Fully Furnished,421,1,1,2,3,MMR,108.25
Oshiwara,Apartment,Unfurnished,497,2,2,2,2,MMR,169.69
Dahisar,Apartment,Unfurnished,1165,4,4,3,38,Mumbai,131.1
Taloja,Apartment,Unfurnished,587,2,2,1,8,Navi Mumbai,30.17
Goregaon West,Apartment,Semi-Furnished,1051,3,3,3,40,Mumbai,190.81
Tardeo,Apartment,Semi-Furnished,761,2,2,1,6,MMR,475.69
Virar,Apartment,Unfurnished,392,1,1,2,9,Vasai-Virar,24.47
Thane East,Apartment,Unfurnished,764,3,3,0,3,Thane,56.86
Bhandup,Apartment,Unfurnished,483,1,1,2,12,Mumbai,68.11
Goregaon West,Apartment,Semi-Furnished,791,3,3,2,11,Mumbai,170.74
Dadar East,Apartment,Unfurnished,999,3,3,2,4,MMR,306.63
Prabhadevi,Apartment,Semi-Furnished,1105,3,3,1,2,Mumbai,615.8
Tardeo,Apartment,Fully Furnished,1689,4,4,2,10,MMR,831.52
Mira Road,Apartment,Fully Furnished,579,2,2,1,30,Mira-Bhayandar,59.82
Borivali West,Apartment,Unfurnished,2229,5,5,1,13,Mumbai,375.03
Juhu,Apartment,Fully Furnished,577,2,2,0,4,Mumbai,303.34
Mahalaxmi,Apartment,Fully Furnished,751,2,2,1,5,MMR,421.89
Mulund West,Apartment,Unfurnished,511,2,2,1,21,Mumbai,51.12
Kanjurmarg,Apartment,Unfurnished,765,2,2,1,12,MMR,93.08
Airoli,Apartment,Semi-Furnished,702,2,2,1,12,Navi Mumbai,90.83
Sewri,Apartment,Unfurnished,2076,5,5,0,8,MMR,618.66
Kandivali West,Apartment,Semi-Furnished,3125,5,5,3,11,Mumbai,559.12
Thane East,Apartment,Fully Furnished,2023,5,5,1,10,Thane,200.85
Sanpada,Apartment,Unfurnished,656,2,2,0,19,Navi Mumbai,70.59
Sewri,Apartment,Fully Furnished,874,3,3,1,7,MMR,238.08
Vashi,Apartment,Semi-Furnished,406,1,1,1,3,Navi Mumbai,62.99
Vile Parle East,Apartment,Semi-Furnished,672,2,2,1,8,Mumbai,180.45
Walkeshwar,Apartment,Unfurnished,1359,4,4,1,2,MMR,1024.65
Goregaon West,Apartment,Unfurnished,1071,3,3,0,6,Mumbai,254.35
Naigaon,Apartment,Unfurnished,845,2,2,1,12,Vasai-Virar,27.56
Sanpada,Apartment,Unfurnished,526,2,2,3,11,Navi Mumbai,61.59
Mulund East,Apartment,Unfurnished,862,3,3,1,7,Mumbai,118.08
Worli,Apartment,Semi-Furnished,668,2,2,1,10,Mumbai,569.15
Versova,Apartment,Unfurnished,571,2,2,1,22,MMR,143.61
Lokhandwala,Apartment,Semi-Furnished,884,3,3,1,16,MMR,222.39
Vile Parle West,Apartment,Unfurnished,1091,3,3,1,10,Mumbai,440.02
Wadala,Apartment,Semi-Furnished,968,3,3,2,11,Mumbai,337.3
Kurla West,Apartment,Unfurnished,3412,5,5,2,20,MMR,681.29
Vashi,Apartment,Semi-Furnished,393,1,1,0,36,Navi Mumbai,56.66
Badlapur,Apartment,Unfurnished,697,2,2,2,16,Thane,28.3
Sanpada,Apartment,Unfurnished,709,2,2,2,2,Navi Mumbai,77.76
Seawoods,Apartment,Unfurnished,484,1,1,2,20,Navi Mumbai,62.33
Matunga,Apartment,Unfurnished,1202,3,3,2,16,MMR,312.83
Santacruz West,Apartment,Unfurnished,676,2,2,1,7,Mumbai,328.39
Ghodbunder Road,Apartment,Unfurnished,633,2,2,1,5,MMR,52.86
Breach Candy,Apartment,Semi-Furnished,1497,4,4,1,8,MMR,948.2
Andheri West,Apartment,Semi-Furnished,1252,3,3,1,6,Mumbai,489.11
Mulund West,Apartment,Unfurnished,604,2,2,2,36,Mumbai,41.51
Bkc (Bandra-Kurla),Apartment,Unfurnished,878,3,3,2,11,MMR,492.69
Kandivali West,Apartment,Unfurnished,651,2,2,2,8,Mumbai,104.02
Byculla,Apartment,Unfurnished,703,2,2,2,8,Mumbai,232.16
Mulund East,Apartment,Unfurnished,1149,4,4,1,21,Mumbai,130.34
Dahisar,Apartment,Unfurnished,624,2,2,1,21,Mumbai,75.19
Ghatkopar East,Apartment,Unfurnished,460,2,2,2,4,Mumbai,83.2
Kopar Khairane,Apartment,Semi-Furnished,1235,3,3,3,9,MMR,123.4
Kurla East,Apartment,Unfurnished,535,2,2,1,5,MMR,77.1
Worli,Apartment,Unfurnished,2872,5,5,1,4,Mumbai,1645.69
Breach Candy,Apartment,Fully Furnished,702,2,2,3,5,MMR,531.51
Belapur,Apartment,Fully Furnished,571,2,2,1,10,MMR,77.06
Dahisar,Apartment,Unfurnished,348,1,1,2,7,Mumbai,35.62
Mahalaxmi,Apartment,Semi-Furnished,423,1,1,2,29,MMR,188.6
Kandivali East,Apartment,Fully Furnished,523,1,1,1,3,Mumbai,46.92
Dadar West,Apartment,Unfurnished,623,2,2,0,3,MMR,326.13
Tardeo,Apartment,Unfurnished,593,2,2,3,11,MMR,273.23
Panvel,Apartment,Unfurnished,510,1,1,1,4,Navi Mumbai,34.82
Manpada,Apartment,Semi-Furnished,632,2,2,2,12,MMR,44.31
Ulwe,Apartment,Unfurnished,1219,3,3,1,9,Navi Mumbai,60.56
Manpada,Apartment,Unfurnished,2317,5,5,1,21,MMR,105.25
Matunga,Apartment,Semi-Furnished,547,2,2,1,21,MMR,177.96
Ghodbunder Road,Apartment,Unfurnished,1141,3,3,2,11,MMR,96.53
Ghodbunder Road,Apartment,Unfurnished,526,2,2,2,40,MMR,38.61
Ulwe,Apartment,Fully Furnished,2745,5,5,1,11,Navi Mumbai,186.48
Bandra West,Apartment,Fully Furnished,931,3,3,2,9,Mumbai,599.23
Andheri West,Apartment,Semi-Furnished,726,3,3,1,15,Mumbai,249.94
Malad East,Apartment,Semi-Furnished,551,2,2,3,8,Mumbai,90.5
Kharghar,Apartment,Semi-Furnished,1155,3,3,1,10,Navi Mumbai,104.26
Andheri West,Apartment,Unfurnished,389,1,1,1,8,Mumbai,151.21
Byculla,Apartment,Fully Furnished,1431,4,4,1,3,Mumbai,677.62
Bandra West,Apartment,Unfurnished,1471,4,4,1,14,Mumbai,744.44
Andheri West,Apartment,Semi-Furnished,414,1,1,1,13,Mumbai,177.78
Cuffe Parade,Apartment,Semi-Furnished,755,2,2,2,32,MMR,419.15
Colaba,Apartment,Unfurnished,555,2,2,2,31,MMR,264.07
Byculla,Apartment,Semi-Furnished,1334,4,4,2,4,Mumbai,493.99
Naigaon,Apartment,Unfurnished,1013,3,3,2,6,Vasai-Virar,38.13
Lokhandwala,Apartment,Unfurnished,442,1,1,1,18,MMR,117.99
Vikhroli,Apartment,Unfurnished,1429,4,4,3,20,Mumbai,157.15
Mulund East,Apartment,Unfurnished,2550,5,5,2,8,Mumbai,303.11
Vile Parle East,Apartment,Fully Furnished,711,2,2,1,37,Mumbai,159.81
Kopar Khairane,Apartment,Unfurnished,606,2,2,2,2,MMR,51.99
Kurla East,Apartment,Semi-Furnished,479,1,1,1,4,MMR,86.84
Seawoods,Apartment,Unfurnished,623,2,2,2,18,Navi Mumbai,66.48
Parel,Apartment,Unfurnished,1510,4,4,3,4,Mumbai,599.92
Nerul,Apartment,Fully Furnished,860,3,3,1,8,Navi Mumbai,67.3
Nerul,Apartment,Unfurnished,1778,4,4,0,11,Navi Mumbai,257.08
Ghodbunder Road,Apartment,Unfurnished,681,2,2,1,4,MMR,55.23
Naigaon,Apartment,Unfurnished,492,1,1,2,5,Vasai-Virar,22.12
Seawoods,Apartment,Unfurnished,1113,3,3,0,6,Navi Mumbai,137.51
Mulund East,Apartment,Semi-Furnished,2398,5,5,1,11,Mumbai,393.93
Pedder Road,Apartment,Semi-Furnished,1692,4,4,1,36,MMR,1105.12
Dombivli,Apartment,Semi-Furnished,637,2,2,1,31,Thane,37.18
Mulund East,Apartment,Unfurnished,551,1,1,1,16,Mumbai,38.15
Nala Sopara,Apartment,Unfurnished,662,2,2,2,16,Vasai-Virar,27.62
Andheri East,Apartment,Semi-Furnished,692,2,2,1,4,Mumbai,149.56
Sion,Apartment,Semi-Furnished,740,2,2,0,15,Mumbai,191.31
Kandivali East,Apartment,Semi-Furnished,1398,4,4,1,14,Mumbai,162.68
Dahisar,Apartment,Unfurnished,941,3,3,1,11,Mumbai,118.44
Mulund East,Apartment,Semi-Furnished,365,1,1,2,10,Mumbai,53.49
Juhu,Apartment,Unfurnished,1489,4,4,3,19,Mumbai,860.61
Wadala,Apartment,Fully Furnished,456,2,2,1,2,Mumbai,122.39
Kurla East,Apartment,Fully Furnished,610,2,2,1,9,MMR,115.92
Pedder Road,Apartment,Semi-Furnished,1728,4,4,2,8,MMR,960.61
Powai,Apartment,Fully Furnished,797,2,2,2,5,Mumbai,206.77
Dadar West,Apartment,Unfurnished,839,3,3,1,7,MMR,318.97
Kalwa,Apartment,Unfurnished,1333,4,4,0,8,Thane,65.64
Malad East,Apartment,Unfurnished,892,3,3,1,30,Mumbai,156.73
Seawoods,Apartment,Unfurnished,652,2,2,1,7,Navi Mumbai,48.59
Matunga,Apartment,Semi-Furnished,519,2,2,1,4,MMR,184.7
Cuffe Parade,Apartment,Semi-Furnished,2932,5,5,2,36,MMR,1530.92
Santacruz East,Apartment,Fully Furnished,591,2,2,2,4,Mumbai,208.1
Goregaon West,Apartment,Semi-Furnished,1335,4,4,3,30,Mumbai,294.24
Lower Parel,Apartment,Unfurnished,1660,5,5,3,4,Mumbai,697.05
Chembur,Apartment,Semi-Furnished,1228,4,4,0,20,Mumbai,167.52
Goregaon West,Apartment,Fully Furnished,979,3,3,2,2,Mumbai,156.83
Ghodbunder Road,Apartment,Fully Furnished,568,2,2,2,9,MMR,31.2
Santacruz West,Apartment,Semi-Furnished,637,2,2,1,12,Mumbai,312.65
Vile Parle West,Apartment,Unfurnished,3327,5,5,1,22,Mumbai,1039.36
Vikhroli,Apartment,Unfurnished,3163,5,5,1,5,Mumbai,655.5
Vikhroli,Apartment,Semi-Furnished,671,2,2,3,3,Mumbai,134.07
Seawoods,Apartment,Unfurnished,545,2,2,2,15,Navi Mumbai,52.35
Pedder Road,Apartment,Semi-Furnished,1315,4,4,3,5,MMR,999.55
Dadar West,Apartment,Unfurnished,809,3,3,0,15,MMR,316.89
Dombivli,Apartment,Semi-Furnished,466,1,1,0,39,Thane,27.56
Marine Drive,Apartment,Semi-Furnished,1324,4,4,1,40,MMR,682.44
Seawoods,Apartment,Semi-Furnished,639,2,2,3,18,Navi Mumbai,79.8
Vikhroli,Apartment,Unfurnished,1105,3,3,0,17,Mumbai,232.27
Dadar West,Apartment,Unfurnished,875,3,3,2,19,MMR,275.38
Andheri East,Apartment,Unfurnished,656,2,2,0,3,Mumbai,156.3
Mira Road,Apartment,Unfurnished,616,2,2,0,8,Mira-Bhayandar,51.63
Goregaon West,Apartment,Unfurnished,1119,3,3,2,18,Mumbai,155.62
Mulund East,Apartment,Unfurnished,821,2,2,1,10,Mumbai,93.78
Sanpada,Apartment,Unfurnished,882,3,3,1,18,Navi Mumbai,97.68
Dadar East,Apartment,Semi-Furnished,588,2,2,3,3,MMR,184.8
Santacruz West,Apartment,Unfurnished,961,3,3,3,9,Mumbai,504.77
Byculla,Apartment,Unfurnished,280,1,1,2,27,Mumbai,101.78
Mira Road,Apartment,Semi-Furnished,611,2,2,1,7,Mira-Bhayandar,52.89
Sanpada,Apartment,Fully Furnished,421,1,1,3,10,Navi Mumbai,51.12
Mulund East,Apartment,Unfurnished,332,1,1,2,4,Mumbai,47.21
Powai,Apartment,Semi-Furnished,748,2,2,2,4,Mumbai,203.52
Walkeshwar,Apartment,Unfurnished,1601,4,4,2,32,MMR,1095.1
Mahalaxmi,Apartment,Fully Furnished,298,1,1,1,8,MMR,202.17
Bhandup,Apartment,Unfurnished,564,2,2,2,14,Mumbai,70.19
Borivali West,Apartment,Fully Furnished,425,2,2,1,40,Mumbai,67.44
Airoli,Apartment,Unfurnished,683,2,2,1,6,Navi Mumbai,39.56
Colaba,Apartment,Semi-Furnished,1779,5,5,2,7,MMR,1169.4
Vashi,Apartment,Unfurnished,696,2,2,1,16,Navi Mumbai,79.79
Breach Candy,Apartment,Unfurnished,1799,5,5,2,2,MMR,1523.94
Kurla East,Apartment,Unfurnished,3284,5,5,0,4,MMR,537.86
